CEO
Steven Roth
Javier Teruel
Spectron Desarrollo
R. Gerald Turner
Mary Beth West
Marketing Officer
Ellen Siminoff
Astrid Stawiarz/Getty
Norbert Reithofer
Laura Lang
Allen Questrom
Scott Wapner
Edward Breen
Peter Vessenes
Michael Yoshikami
Vaishali Rastogi
Steve Brazier
Mark Kleinman
Mark Cohen
Fast Money
John Carter
Jeff Gomez
Chui Sai On
Hu Chunhua
Chuck Prince
Charlie Rose
Rex Tillerson
Pacific Railway
Hunter Harrison
Jay Feuerstein
Limin Li
Tom LaSorda
Henrik Fisker
Sandy Weill
Steve Jobs
Sundar Pichai
Frank Bennack Jr.
David Carey
Michael Clinton
Tadeu Carneiro
Lucas JacksonActivist
Sergio Ermotti
Jason Kempin
Ina Drew
Ashley Bacon
Risk Officer
Peter Weiland
Michael Cavanagh
Douglass Braunstein
Mohamed El-ErianMohamed El-Erian
Robert Reynolds
Sandy Weill's
Rusdi Kirana
Fabrice Brgier
Francois Hollande
Albert Lam
Don Graunstadt
Christine Day
James Covert
Thomas Meyer
Safra Catz
Edward Barbini
Michelle Leder
"Jon Thains$35,000"
Samuel J. Palmisano
Fred Smith
Scott Thompson
Bill Johnson
Ray Irani
Mark Parker
Rich Lesser
Thomas Belesis
John Thomas Financial
Gabriel Spitzer
Salvatore Iannuzzi
Leo Apotheker's
Leo Apotheker
CFO Cathy Lesjak
Michael Dell's
Dick Costolo
Brad Anderson
Brian Dunn
Tom Joyce
Sam Laidlaw
Jeff Berwick
Patrick De Maeseneire
Joseph Jimenez
Daniel Goodman
Ken Auletta
John Delaney
Timothy Cook
Kent Kedl
Steven Jacobs
Reed Hasting
Jeffrey Skilling
Jeff Skilling
Scott Cohn
Stephen LamTesla
Matthew Lloyd/Getty ImagesLate
Alexey Miller
Brian Sozzi
Mike Ullman
Mike UllmanRon Johnson
"Myron ""Mike"" Ullman"
Myron E.
Hennessy Louis Vuitton
Ben Bernanke
Ashley Judd
Natalie Portman
Wayne LaPierre
Thomas Campbell
Duncan Niederauer
Gary Cohn
Josh Hallet
Bob Iger
John Stumpf
Tommy Belesis
Anastasios Tommy Belesis
Jonathan Alcorn / Bloomberg
Charlie Ergen
"Anastasios ""Tommy"" Belesis"
John Thomas
Oliver Stone's
Daniel Baker
Paul OtelliniIntel
Ric Edelman
Tom Montag
Ron Johnsonleft
Michael OLeary
Jerry del Missier
Mr Diamond
Ekaterina Rybolovleva
Stephen A. Schwarzman
Said W. James McNerney
Jeffery Ubben
Leo Isaak
Muddy Waters
Carson Block
Dick Fuld
Jimmy Cayne
Allen Questrom's
Dan Loeb
Carol Bartz
Spencer Rascoff
Reed Hastings
Matthew Boesler
Mark Pincus
Paul SakumaVerizon
Lowell McAdamNEW
Vittorio Colao
Matt Zames
Blackstone Chairman
Clayton A. Cohn
Tim Mrock
Michael Jeffries
David Simon
Ralph Lauren
Cam Fine
Andrew Ross Sorkin's
Andrew Ross Sorkin
Michael Bloomberg
Frank Blake
Rupert Murdoch
Michael Eisner
Bill Gates
Reuters/ Joshua RobertsYesterday at
Niall Ferguson
A. Gary Shilling
Jim Hughes
Leon Black
John Donahoe
Mike Duke
Doug McMillon
Jack Chubb
Brian P. Kelley
Manchester United
David Gill
Julia La Roche
Russell Wasendorf Sr.
Cedar Falls
Jeff Malec
Om Malik
Kleiner Perkins
John Doerr
Reid Hoffman
Daniel Doctoroff
Cole Wilcox
Bob McDonald
Hal Harvey
Dan Doctoroff
Michael Bloombergthe
Lex Fenwick
Thomas Jones
Matt Winkler
Daniel Loeb
Kazuo Hirai
Andrew Mackenzie
Eric Lefkofsky
Ted Leonsis
CFO Jason Child
Cisco Chairman
Tom Gage
Michael Carrazza
Peter Orthwein
Steve Lefkowitz
Dawn Jones
Tommy Lee Jones
"Rob Wile 
"
Michael Jeffries'
Deborah Wright
Mina Kime's
Bloomberg Businessweek
Clark Hoyt
Daniel L. Doctoroff
Eugene A. Ludwig
Martin Sorrell
Mark Wilson
JP Morgan
Terry Rich
Mario Tama
Phil Baldwin
John Gainor
Glass Lewis
Stephen Bainbridge
Lee Raymond
Beck Diefenbach
David KarpGood
Ryan Jacob
Jacob Funds
Lee R. Raymond
J.P. Morgan's
Sebastien Galy
Aussie Dollar
Chilean Peso
Ryan Safady
Gene Friedman
A.G. Lafley
Bruce Zimmerman
David Einhorn's
Duane Stanford
ofBloomberg Businessweek
Mohamed El-Erian's
Stephen Chazen
Joe Kennedy
Lance Roberts
Barry O'Leary
John Sculley
Kyle Bass
Jon Sundt
Daniel Goodman /
Bill Smead
C. Larry Pope
Robert Thomson
Susanne Craig
Bruce Rose
David Miller
